Date,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2014-11-30,300.0,300.0,300.0,300.0,0.01,3.0,300.0
2014-12-01,377.0,377.0,377.0,377.0,0.01,3.77,377.0
2014-12-02,378.0,378.0,378.0,378.0,0.0660842,24.9798276,378.0
2014-12-03,377.1,377.1,377.1,377.1,0.01,3.7710000000000004,377.1
2014-12-05,378.0,378.0,378.0,378.0,0.015,5.67,378.0
2014-12-08,375.01,375.01,375.0,375.0,0.235,88.1251,375.00042553
2014-12-09,360.5,360.5,360.5,360.5,0.01,3.605,360.5
2014-12-11,350.0,350.0,350.0,350.0,2.0,700.0,350.0
2014-12-18,345.0,345.0,340.0,340.0,2.0,685.0,342.5
2015-01-07,274.32,285.17,274.32,275.44,0.03,8.3493,278.31
2015-01-08,276.62,293.86,276.62,288.99,0.04,11.3711,284.2775
2015-01-12,260.0,260.0,260.0,260.0,1.0,260.0,260.0
2015-01-13,219.63,219.63,219.63,219.63,0.01,2.1963,219.63
2015-01-14,150.0,150.0,150.0,150.0,0.0262,3.93,150.0
2015-01-15,189.0,189.0,189.0,189.0,0.01,1.89,189.0
2015-01-16,210.0,210.0,210.0,210.0,0.023,4.83,210.0
2015-01-17,186.0,186.0,184.0,184.0,0.021,3.8939999999999997,185.42857143
2015-01-18,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
2015-01-19,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
2015-01-20,224.0,224.0,224.0,224.0,0.004,0.8959999999999999,224.0
2015-01-21,252.41,254.45,246.62,246.62,0.03,7.5348,251.16
2015-01-22,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
2015-01-23,216.0,216.0,216.0,216.0,0.01,2.16,216.0
2015-01-24,250.91,250.91,250.91,250.91,0.1,25.090999999999998,250.91
2015-01-25,283.28,283.28,283.28,283.28,3.5,991.48,283.28
2015-01-26,258.71,258.73,258.7,258.73,1.51035,390.7412355,258.70906446
2015-01-27,257.89,257.89,257.89,257.89,0.026139999999999997,6.7412446,257.89
2015-01-28,233.11,233.11,232.74,232.74,2.1,488.80806873,232.76574702
2015-01-29,242.99,243.0,242.78,242.78,8.1023,1967.3892210000001,242.81860965
2015-01-30,227.98,228.5,227.98,228.5,16.83,3840.8954259999996,228.21719703
