,Date,Avg_Compound,Avg_Followers,# of Text,Nasdaq_close,Dow_close,BTC_close,SP_close
0,2014-01-01,0.0,15665939.0,1.0,,,,
1,2014-01-02,0.34380588235294113,15667277.94117647,17.0,4143.0698,16441.3496,,1831.98
2,2014-01-03,0.4845666666666667,15666747.333333336,9.0,4131.9102,16469.9902,,1831.37
3,2014-01-04,-0.25,15665435.0,1.0,,,,
4,2014-01-05,0.7346,15667694.0,1.0,,,,
5,2014-01-06,0.21030909090909086,15666724.454545455,11.0,4113.6802,16425.0996,,1826.77
6,2014-01-07,0.3833,15667043.857142854,7.0,4153.1802,16530.9395,,1837.88
7,2014-01-08,0.03944000000000002,15666725.8,5.0,4165.6099,16462.7402,,1837.49
8,2014-01-09,0.4526454545454545,15666835.704545455,44.0,4156.1899,16444.7598,,1838.13
9,2014-01-10,0.6997727272727272,15667061.545454545,11.0,4174.6699,16437.0508,,1842.37
10,2014-01-11,-0.12368333333333333,15666657.666666664,6.0,,,,
11,2014-01-12,0.4191,15666334.333333336,9.0,,,,
12,2014-01-13,0.4138153846153847,15666785.576923074,26.0,4113.2998,16257.9404,,1819.2
13,2014-01-14,0.6525562500000001,15667105.125,16.0,4183.02,16373.8604,,1838.88
14,2014-01-15,0.5032026315789474,15666765.263157895,38.0,4214.8799,16481.9395,,1848.38
15,2014-01-16,0.3898928571428572,15666815.92857143,14.0,4218.6899,16417.0098,,1845.89
16,2014-01-17,0.26118,15667558.6,5.0,4197.5801,16458.5605,,1838.7
17,2014-01-18,0.54365,15666917.642857146,14.0,,,,
18,2014-01-20,0.4521523809523811,15666958.095238095,21.0,,,,
1437,2014-01-21,,,,4225.7598,16414.4395,,1843.8
19,2014-01-22,0.4309833333333333,15666048.0,6.0,4243.0,16373.3398,,1844.86
20,2014-01-23,0.7553000000000001,15666239.75,4.0,4218.8799,16197.3496,,1828.46
21,2014-01-24,0.31247142857142857,15667394.42857143,7.0,4128.1699,15879.1104,,1790.29
22,2014-01-25,0.7503333333333333,15667258.333333336,3.0,,,,
23,2014-01-26,0.4631666666666666,15666145.0,3.0,,,,
24,2014-01-27,0.2475875,15667366.75,8.0,4083.6101,15837.8799,,1781.5601
25,2014-01-28,0.3291333333333333,15667059.888888888,9.0,4097.96,15928.5596,,1792.5
26,2014-01-29,0.16319000000000006,15666941.8,20.0,4051.4299,15738.79,,1774.2
27,2014-01-30,0.145275,15666663.25,20.0,4123.1299,15848.6104,,1794.1899
28,2014-01-31,0.2541,15667339.863636365,22.0,4103.8799,15698.8496,,1782.59
29,2014-02-01,0.41105,15666838.5,2.0,,,,
30,2014-02-02,0.7062250000000001,15666078.0,4.0,,,,
31,2014-02-03,-0.04028,15667438.6,10.0,3996.96,15372.7998,,1741.89
32,2014-02-04,0.2162888888888889,15666741.444444446,9.0,4031.52,15445.2402,,1755.2
33,2014-02-05,0.3425,15666558.333333336,9.0,4011.55,15440.2305,,1751.64
34,2014-02-06,0.212975,15667289.0,4.0,4057.1201,15628.5303,,1773.4301
1438,2014-02-07,,,,4125.8599,15794.0801,,1797.02
35,2014-02-08,0.2972,15667275.5,2.0,,,,
36,2014-02-10,0.2708,15666650.25,12.0,4148.1699,15801.79,,1799.84
37,2014-02-11,0.7345,15667626.0,1.0,4191.0498,15994.7695,,1819.75
38,2014-02-12,0.43209,15666585.8,10.0,4201.29,15963.9404,,1819.26
39,2014-02-13,0.189825,15666838.25,8.0,4240.6699,16027.5898,,1829.83
40,2014-02-14,0.5910222222222222,15666930.037037035,27.0,4244.02,16154.3896,,1838.63
41,2014-02-15,0.14165,15666908.375,8.0,,,,
42,2014-02-16,0.054288888888888914,15666598.666666664,9.0,,,,
43,2014-02-17,0.2898571428571429,15666813.285714285,7.0,,,,
44,2014-02-18,0.275575,15666593.5,8.0,4272.7798,16130.4004,,1840.76
45,2014-02-19,0.11553125000000004,15666833.40625,32.0,4237.9502,16040.5596,,1828.75
46,2014-02-20,0.4415636363636365,15666655.090909092,11.0,4267.5498,16133.2305,,1839.78
47,2014-02-21,0.4642791666666666,15666945.5,24.0,4263.4102,16103.2998,,1836.25
48,2014-02-22,0.46692,15666557.8,10.0,,,,
49,2014-02-23,0.4127333333333333,15666027.0,3.0,,,,
50,2014-02-24,0.3556050000000001,15666596.1,20.0,4292.9702,16207.1396,,1847.61
51,2014-02-25,0.444204,15666686.0,25.0,4287.5898,16179.6602,,1845.12
52,2014-02-26,0.3824846153846153,15666821.307692308,13.0,4292.0601,16198.4102,,1845.16
53,2014-02-27,0.34919999999999995,15666892.444444446,9.0,4318.9302,16272.6504,,1854.29
54,2014-02-28,-0.004028571428571429,15666963.857142854,7.0,4308.1201,16321.71,,1859.45
55,2014-03-01,0.35396,15666547.8,5.0,,,,
56,2014-03-02,0.2626444444444445,15666246.111111112,9.0,,,,
57,2014-03-03,0.07110555555555556,15667178.092592593,54.0,4277.2998,16168.0303,,1845.73
58,2014-03-04,0.29059333333333337,15666573.733333332,15.0,4351.9702,16395.8809,,1873.91
59,2014-03-05,0.562825,15667141.875,8.0,4357.9702,16360.1797,,1873.8101
60,2014-03-06,0.70324,15666414.2,5.0,4352.1299,16421.8906,,1877.03
61,2014-03-07,0.69852,15667051.3,10.0,4336.2202,16452.7207,,1878.04
62,2014-03-08,0.66115,15667245.0,8.0,,,,
63,2014-03-09,0.6834499999999999,15666960.5,2.0,,,,
64,2014-03-10,0.4977857142857142,15666860.0,7.0,4334.4502,16418.6797,,1877.17
65,2014-03-11,0.4980142857142858,15667330.142857146,14.0,4307.1899,16351.25,,1867.63
66,2014-03-12,0.2752083333333333,15667020.916666664,12.0,4323.3301,16340.0801,,1868.2
67,2014-03-13,0.017227272727272716,15667330.545454545,11.0,4260.4199,16108.8896,,1846.34
68,2014-03-14,0.3651538461538461,15666798.846153844,13.0,4245.3999,16065.6699,,1841.13
69,2014-03-15,0.1298,15665905.25,4.0,,,,
70,2014-03-16,0.6970000000000001,15667065.0,3.0,,,,
71,2014-03-17,0.2549,15666308.333333336,6.0,4279.9502,16247.2197,,1858.83
72,2014-03-18,0.4091187499999999,15667256.8125,16.0,4333.3101,16336.1904,,1872.25
73,2014-03-19,0.5339333333333333,15666941.866666667,15.0,4307.6001,16222.1699,,1860.77
74,2014-03-20,0.04495000000000002,15667202.111111112,18.0,4319.29,16331.0498,,1872.01
75,2014-03-21,0.0477,15666681.833333336,6.0,4276.79,16302.7695,,1866.52
76,2014-03-22,0.15855999999999998,15666154.4,5.0,,,,
77,2014-03-24,0.41103333333333336,15667209.222222222,9.0,4226.3901,16276.6904,,1857.4399
78,2014-03-25,0.38084,15667187.8,5.0,4234.27,16367.8799,,1865.62
79,2014-03-26,0.0943636363636364,15666687.363636365,11.0,4173.5801,16268.9902,,1852.5601
80,2014-03-27,0.5004774999999999,15666990.275,40.0,4151.23,16264.2305,,1849.04
81,2014-03-28,0.4710521739130435,15666976.608695652,23.0,4155.7598,16323.0596,,1857.62
82,2014-03-29,0.09291,15666527.3,10.0,,,,
83,2014-03-30,0.2564588235294117,15666976.470588235,17.0,,,,
84,2014-03-31,0.15549999999999994,15666465.3125,16.0,4198.9902,16457.6602,,1872.34
85,2014-04-01,0.4810545454545455,15667120.318181818,22.0,4268.04,16532.6094,,1885.52
86,2014-04-02,0.3618857142857143,15666810.42857143,7.0,4276.46,16573.0,,1890.9
87,2014-04-03,0.35062222222222217,15666816.222222222,9.0,4237.7402,16572.5508,,1888.77
88,2014-04-04,0.5069214285714285,15667007.92857143,14.0,4127.73,16412.7109,,1865.09
89,2014-04-05,0.3281184210526316,15666798.60526316,38.0,,,,
90,2014-04-06,-0.03727500000000003,15667216.625,8.0,,,,
91,2014-04-07,0.5180615384615385,15666052.076923074,13.0,4079.75,16245.8701,,1845.04
92,2014-04-08,0.7345636363636363,15666856.181818182,11.0,4112.9902,16256.1396,,1851.96
93,2014-04-09,0.433,15666513.863636365,22.0,4183.8999,16437.1797,,1872.1801
94,2014-04-10,0.4675769230769232,15666962.884615386,26.0,4054.1101,16170.2197,,1833.08
95,2014-04-11,0.4294631578947368,15666861.52631579,19.0,3999.73,16026.75,,1815.6899
96,2014-04-12,0.23915000000000006,15667224.125,8.0,,,,
97,2014-04-14,0.3934388888888889,15666937.555555554,18.0,4022.6899,16173.2402,,1830.61
98,2014-04-15,0.18798571428571428,15666963.80952381,21.0,4034.1599,16262.5596,,1842.98
99,2014-04-16,0.5411466666666666,15666619.466666667,15.0,4086.23,16424.8496,,1862.3101
100,2014-04-17,0.39353,15666990.65,20.0,4095.52,16408.5391,,1864.85
101,2014-04-18,0.3263346153846153,15666677.115384614,26.0,,,,
102,2014-04-19,0.5286806451612903,15666831.935483873,31.0,,,,
103,2014-04-20,0.2336714285714286,15667131.952380953,21.0,,,,
104,2014-04-21,0.506375,15666761.05,20.0,4121.5498,16449.25,,1871.89
105,2014-04-22,0.4398633333333333,15666936.833333336,30.0,4161.46,16514.3691,,1879.55
106,2014-04-23,0.5005885714285714,15667011.228571428,35.0,4126.9702,16501.6504,,1875.39
107,2014-04-24,0.4288666666666667,15666933.625,24.0,4148.3398,16501.6504,,1878.61
108,2014-04-25,0.3164352941176471,15667043.352941176,17.0,4075.5601,16361.46,,1863.4
109,2014-04-27,0.7907666666666667,15666569.666666664,3.0,,,,
110,2014-04-28,0.5167125,15666975.625,8.0,4074.3999,16448.7402,,1869.4301
111,2014-04-29,0.22296875,15666871.875,16.0,4103.54,16535.3691,,1878.33
112,2014-04-30,0.17655000000000004,15667260.6,10.0,4114.5601,16580.8398,,1883.95
113,2014-05-01,0.5076571428571428,15666843.714285715,7.0,4127.4502,16558.8691,,1883.6801
114,2014-05-02,0.35895135135135137,15666840.405405406,37.0,4123.8999,16512.8906,,1881.14
115,2014-05-03,0.15650869565217387,15666814.826086955,23.0,,,,
116,2014-05-04,-0.20484545454545453,15666659.545454545,11.0,,,,
117,2014-05-05,0.3835142857142857,15667144.4,35.0,4138.0601,16530.5508,,1884.66
118,2014-05-06,0.3678555555555556,15666785.888888888,9.0,4080.76,16401.0195,,1867.72
119,2014-05-07,0.3249777777777778,15666650.222222222,9.0,4067.6699,16518.5391,,1878.21
120,2014-05-08,0.14734999999999995,15667090.916666664,12.0,4051.5,16550.9707,,1875.63
121,2014-05-09,0.41821428571428576,15666521.57142857,21.0,4071.8701,16583.3398,,1878.48
122,2014-05-10,-0.1045,15666225.2,5.0,,,,
123,2014-05-11,0.8371000000000001,15667867.666666664,3.0,,,,
124,2014-05-12,0.7382500000000001,15666507.25,8.0,4143.8599,16695.4707,,1896.65
125,2014-05-13,0.49655,15666943.083333336,12.0,4130.1699,16715.4395,,1897.45
126,2014-05-14,0.4869800000000001,15667968.2,5.0,4100.6299,16613.9707,,1888.53
127,2014-05-15,0.6786428571428572,15666897.57142857,7.0,4069.29,16446.8105,,1870.85
128,2014-05-16,0.7383285714285716,15666534.57142857,7.0,4090.5901,16491.3105,,1877.86
129,2014-05-17,0.3211454545454545,15666672.818181818,11.0,,,,
130,2014-05-18,0.3589545454545455,15666450.909090908,11.0,,,,
131,2014-05-19,0.2834705882352941,15666530.470588235,17.0,4125.8101,16511.8594,,1885.08
132,2014-05-20,0.4188384615384617,15667281.384615386,13.0,4096.8901,16374.3096,,1872.83
133,2014-05-21,0.7888000000000001,15666442.666666664,6.0,4131.54,16533.0605,,1888.03
134,2014-05-22,0.5986,15666557.9,10.0,4154.3398,16543.0801,,1892.49
135,2014-05-23,0.11905,15666960.222222222,18.0,4185.8101,16606.2695,,1900.53
136,2014-05-24,0.0,15665918.0,1.0,,,,
137,2014-05-25,0.8028000000000001,15666862.0,3.0,,,,
138,2014-05-26,0.45905,15667322.0,8.0,,,,
139,2014-05-27,0.22797368421052636,15667074.315789474,19.0,4237.0698,16675.5,,1911.91
140,2014-05-28,0.4046666666666666,15666909.444444446,9.0,4225.0801,16633.1797,,1909.78
141,2014-05-29,-0.220225,15667482.75,4.0,4247.9502,16698.7402,,1920.03
142,2014-05-30,0.19960714285714287,15666529.5,14.0,4242.6201,16717.1699,,1923.5699
143,2014-05-31,0.6051333333333333,15667060.0,9.0,,,,
144,2014-06-01,0.08853333333333334,15666996.285714285,21.0,,,,
145,2014-06-02,0.3379142857142857,15666634.607142854,28.0,4237.2002,16743.6309,,1924.97
146,2014-06-03,0.14964999999999998,15666786.961538462,26.0,4234.0801,16722.3398,,1924.24
147,2014-06-04,0.2507862068965517,15666909.310344828,29.0,4251.6401,16737.5293,,1927.88
148,2014-06-05,0.5021,15666850.375,8.0,4296.23,16836.1094,,1940.46
149,2014-06-06,0.278525,15666969.25,4.0,4321.3999,16924.2793,,1949.4399
150,2014-06-07,0.169775,15666752.0,4.0,,,,
151,2014-06-08,0.3463160000000001,15667132.92,25.0,,,,
152,2014-06-09,0.5065500000000001,15666789.75,12.0,4336.2402,16943.0996,,1951.27
153,2014-06-10,0.3765680000000001,15666900.64,25.0,4338.0,16945.9199,,1950.79
154,2014-06-11,0.2089,15666851.206896553,29.0,4331.9302,16843.8809,,1943.89
155,2014-06-12,0.17642777777777774,15666845.555555554,18.0,4297.6299,16734.1895,,1930.11
156,2014-06-13,0.366968181818182,15666913.909090908,44.0,4310.6499,16775.7402,,1936.16
157,2014-06-14,0.6967428571428572,15666916.333333336,21.0,,,,
158,2014-06-15,0.3787120689655172,15666913.551724138,58.0,,,,
159,2014-06-16,0.31264897959183674,15666850.734693876,49.0,4321.1001,16781.0098,,1937.78
160,2014-06-17,0.3914965909090909,15666870.806818182,88.0,4337.23,16808.4902,,1941.99
161,2014-06-18,0.5888368421052631,15666926.47368421,19.0,4362.8398,16906.6191,,1956.98
162,2014-06-19,0.2939358974358974,15666808.794871796,39.0,4359.3301,16921.4609,,1959.48
163,2014-06-20,0.5719777777777778,15667231.833333336,18.0,4368.04,16947.0801,,1962.87
164,2014-06-21,0.4898549999999999,15666736.95,20.0,,,,
165,2014-06-22,0.4288448275862069,15666622.48275862,29.0,,,,
166,2014-06-23,0.32088928571428577,15666797.964285715,28.0,4368.6802,16937.2598,,1962.61
167,2014-06-24,0.21608571428571427,15667077.904761905,21.0,4350.3501,16818.1309,,1949.98
168,2014-06-25,0.6692999999999999,15667186.5,6.0,4379.7598,16867.5098,,1959.53
169,2014-06-26,0.29049428571428576,15666726.2,35.0,4379.0498,16846.1309,,1957.22
170,2014-06-27,0.19350000000000006,15666695.818181818,11.0,4397.9302,16851.8398,,1960.96
171,2014-06-29,0.43649523809523816,15666747.047619047,21.0,,,,
172,2014-06-30,0.4910333333333334,15667102.916666664,12.0,4408.1802,16826.5996,,1960.23
173,2014-07-01,0.4844555555555556,15666815.333333336,18.0,4458.6499,16956.0703,,1973.3199
174,2014-07-02,0.332025,15666729.875,16.0,4457.73,16976.2402,,1974.62
175,2014-07-03,0.7081999999999999,15666837.6,10.0,4485.9302,17068.2598,,1985.4399
176,2014-07-04,0.06488000000000001,15666509.6,5.0,,,,
177,2014-07-05,0.10178750000000003,15666942.375,8.0,,,,
178,2014-07-06,-0.4664333333333333,15667652.333333336,3.0,,,,
179,2014-07-07,0.4481,15667009.8125,16.0,4451.5298,17024.2109,,1977.65
180,2014-07-08,0.30394736842105263,15667173.684210526,19.0,4391.46,16906.6191,,1963.71
181,2014-07-09,0.4163516129032257,15666779.64516129,31.0,4419.0298,16985.6094,,1972.83
182,2014-07-10,0.2612416666666666,15666816.25,36.0,4396.2002,16915.0703,,1964.6801
183,2014-07-11,0.2524083333333333,15667007.875,24.0,4415.4902,16943.8105,,1967.5699
184,2014-07-12,0.6603,15666936.666666664,3.0,,,,
185,2014-07-13,0.17296666666666669,15666833.111111112,9.0,,,,
186,2014-07-14,0.274,15666697.07142857,14.0,4440.4199,17055.4199,,1977.1
187,2014-07-15,0.032995454545454585,15667030.636363635,22.0,4416.3901,17060.6797,,1973.28
188,2014-07-16,0.32643,15666523.3,10.0,4425.9702,17138.1992,,1981.5699
189,2014-07-17,0.3720125000000001,15666932.25,24.0,4363.4502,16976.8105,,1958.12
190,2014-07-18,0.4632722222222223,15667192.722222222,18.0,4432.1499,17100.1797,,1978.22
191,2014-07-19,0.309475,15666937.25,4.0,,,,
192,2014-07-20,0.7901,15666395.0,1.0,,,,
193,2014-07-21,0.2854444444444445,15666660.111111112,18.0,4424.7002,17051.7305,,1973.63
194,2014-07-22,0.3997866666666666,15666718.866666667,15.0,4456.02,17113.5391,,1983.53
195,2014-07-23,0.37478125,15666771.3125,16.0,4473.7002,17086.6309,,1987.01
196,2014-07-24,0.3871600000000001,15666702.3,20.0,4472.1099,17083.8008,,1987.98
197,2014-07-25,0.3829300000000001,15666737.7,10.0,4449.5601,16960.5703,,1978.34
198,2014-07-26,0.26859999999999995,15666708.75,4.0,,,,
199,2014-07-28,-0.09217857142857147,15667307.214285715,14.0,4444.9102,16982.5898,,1978.91
200,2014-07-29,0.30913888888888885,15666718.027777778,36.0,4442.7002,16912.1094,,1969.95
201,2014-07-30,0.3990611111111111,15666781.166666664,18.0,4462.8999,16880.3594,,1970.0699
202,2014-07-31,0.3296076923076923,15666972.615384614,26.0,4369.77,16563.3008,,1930.67
203,2014-08-01,0.2910142857142857,15666878.07142857,14.0,4352.6401,16493.3691,,1925.15
204,2014-08-02,-0.10810625,15666578.1875,16.0,,,,
205,2014-08-03,0.11396000000000002,15666462.2,5.0,,,,
206,2014-08-04,-0.2641,15666814.8125,16.0,4383.8901,16569.2793,,1938.99
207,2014-08-05,0.23250000000000004,15666709.166666664,24.0,4352.8398,16429.4707,,1920.21
208,2014-08-06,0.2740888888888889,15666944.111111112,9.0,4355.0498,16443.3398,,1920.24
209,2014-08-07,0.14743,15666866.8,10.0,4334.9702,16368.2695,,1909.5699
210,2014-08-08,0.03558666666666665,15666811.8,15.0,4370.8999,16553.9297,,1931.59
211,2014-08-09,0.26311538461538464,15666768.307692308,13.0,,,,
212,2014-08-11,0.2816304347826087,15667007.347826088,23.0,4401.3301,16569.9805,,1936.92
